Gabor Kiraly,Tor,24,Hertha BSC,
Michael Hartmann,Abwehr,26,Hertha BSC,
Kostas Konstantinidis,Abwehr,27,Hertha BSC,
Marko Rehmer,Abwehr,28,Hertha BSC,
Anthony Sanneh,Abwehr,29,Hertha BSC,
Josip Simunic,Abwehr,22,Hertha BSC,
Dick Burik van,Abwehr,26,Hertha BSC,
Stefan Beinlich,Mittelfeld,28,Hertha BSC,
Pal Dardai,Mittelfeld,24,Hertha BSC,
Sebastian Deisler,Mittelfeld,20,Hertha BSC,
Benjamin Köhler,Mittelfeld,19,Hertha BSC,
Rob Maas,Mittelfeld,30,Hertha BSC,
Thorben Marx,Mittelfeld,19,Hertha BSC,
Andreas Schmidt,Mittelfeld,26,Hertha BSC,
René Tretschok,Mittelfeld,31,Hertha BSC,
Sixten Veit,Mittelfeld,30,Hertha BSC,
Dariusz Wosz,Mittelfeld,31,Hertha BSC,
Alves Alex,Sturm,25,Hertha BSC,
Ali Daei,Sturm,31,Hertha BSC,
Kai Michalke,Sturm,24,Hertha BSC,
Michael Preetz,Sturm,32,Hertha BSC,
Piotr Reiss,Sturm,28,Hertha BSC,
Bryan Roy,Sturm,30,Hertha BSC,
Eyjolfur Sverrisson,Sturm,31,Hertha BSC,
Andreas Thom,Sturm,34,Hertha BSC,
Sead Zilic,Sturm,17,Hertha BSC,
Thomas Ernst,Tor,32,VfL Bochum,
Rein Duijnhoven van,Tor,32,VfL Bochum,
Christian Vander,Tor,19,VfL Bochum,
Michael Bemben,Abwehr,24,VfL Bochum,
Sören Colding,Abwehr,27,VfL Bochum,
Frank Fahrenhorst,Abwehr,22,VfL Bochum,
Paul Freier,Abwehr,21,VfL Bochum,
Zoran Mamic,Abwehr,28,VfL Bochum,
Martin Meichelbeck,Abwehr,23,VfL Bochum,
Damir Milinovic,Abwehr,27,VfL Bochum,
Hilko Ristau,Abwehr,26,VfL Bochum,
Rouven Schröder,Abwehr,24,VfL Bochum,
Axel Sundermann,Abwehr,32,VfL Bochum,
Samir Toplak,Abwehr,30,VfL Bochum,
Yildiray Bastürk,Mittelfeld,21,VfL Bochum,
Delron Buckley,Mittelfeld,22,VfL Bochum,
Ante Covic,Mittelfeld,24,VfL Bochum,
Mirko Dickhaut,Mittelfeld,29,VfL Bochum,
Matthias Lust,Mittelfeld,30,VfL Bochum,
Sergei Mandreko,Mittelfeld,29,VfL Bochum,
Thomas Reis,Mittelfeld,26,VfL Bochum,
Mike Rietpietsch,Mittelfeld,26,VfL Bochum,
Sebastian Schindzielorz,Mittelfeld,21,VfL Bochum,
Olaf Schreiber,Mittelfeld,30,VfL Bochum,
Thomas Stickroth,Mittelfeld,35,VfL Bochum,
Henryk Baluszynski,Sturm,28,VfL Bochum,
Thomas Christiansen,Sturm,27,VfL Bochum,
Zdravko Drincic,Sturm,28,VfL Bochum,
Marijo Maric,Sturm,23,VfL Bochum,
René Müller,Sturm,26,VfL Bochum,
Peter Peschel,Sturm,28,VfL Bochum,
Sascha Siebert,Sturm,22,VfL Bochum,
Achim Weber,Sturm,31,VfL Bochum,
Frank Rost,Tor,27,Werder Bremen,
Mladen Krstajic,Abwehr,26,Werder Bremen,
Björn Schierenbeck,Abwehr,26,Werder Bremen,
Paul Stalteri,Abwehr,22,Werder Bremen,
Razundara Tjikuzu,Abwehr,20,Werder Bremen,
Bernhard Trares,Abwehr,34,Werder Bremen,
Frank Verlaat,Abwehr,32,Werder Bremen,
Andree Wiedener,Abwehr,30,Werder Bremen,
Ivica Banovic,Mittelfeld,19,Werder Bremen,
Mike Barten,Mittelfeld,26,Werder Bremen,
Frank Baumann,Mittelfeld,24,Werder Bremen,
Marco Bode,Mittelfeld,31,Werder Bremen,
Christoph Dabrowski,Mittelfeld,22,Werder Bremen,
Dieter Eilts,Mittelfeld,35,Werder Bremen,
Fabian Ernst,Mittelfeld,21,Werder Bremen,
Dirk Flock,Mittelfeld,28,Werder Bremen,
Torsten Frings,Mittelfeld,23,Werder Bremen,
Andreas Herzog,Mittelfeld,31,Werder Bremen,
Yuriy Maksymov,Mittelfeld,31,Werder Bremen,
Viktor Skripnik,Mittelfeld,30,Werder Bremen,
Raphael Wicky,Mittelfeld,23,Werder Bremen,
Ailton,Sturm,27,Werder Bremen,
Rade Bogdanovic,Sturm,30,Werder Bremen,
Dong-Gook Lee,Sturm,21,Werder Bremen,
Claudio Pizarro,Sturm,21,Werder Bremen,
Tomislav Piplica,Tor,31,Energie Cottbus,
Christian Beeck,Abwehr,28,Energie Cottbus,
Faruk Hujdurovic,Abwehr,30,Energie Cottbus,
Janos Matyus,Abwehr,25,Energie Cottbus,
Kevin McKenna,Abwehr,20,Energie Cottbus,
Jörg Scherbe,Abwehr,22,Energie Cottbus,
Vilmos Sebök,Abwehr,27,Energie Cottbus,
Tsanko Tsvetanov,Abwehr,30,Energie Cottbus,
Rudi Vata,Abwehr,30,Energie Cottbus,
Witold Wawrzyczek,Abwehr,27,Energie Cottbus,
Bruno Akrapovic,Mittelfeld,32,Energie Cottbus,
Steffen Heidrich,Mittelfeld,33,Energie Cottbus,
Moussa Latoundji,Mittelfeld,21,Energie Cottbus,
Toni Micevski,Mittelfeld,30,Energie Cottbus,
Vasile Miriuta,Mittelfeld,31,Energie Cottbus,
Laurentiu Reghecampf,Mittelfeld,24,Energie Cottbus,
Jonny Rödlund,Mittelfeld,28,Energie Cottbus,
Ronny Thielemann,Mittelfeld,26,Energie Cottbus,
Franklin,Sturm,31,Energie Cottbus,
Sebastian Helbig,Sturm,23,Energie Cottbus,
Ferenc Horvath,Sturm,27,Energie Cottbus,
Sabin Ilie,Sturm,25,Energie Cottbus,
Andrzej Kobylanski,Sturm,30,Energie Cottbus,
Antun Labak,Sturm,30,Energie Cottbus,
Philipp Laux,Tor,27,Borussia Dortmund,
Jens Lehmann,Tor,30,Borussia Dortmund,
Dede,Abwehr,22,Borussia Dortmund,
Evanilson,Abwehr,24,Borussia Dortmund,
Jörg Heinrich,Abwehr,30,Borussia Dortmund,
Jürgen Kohler,Abwehr,34,Borussia Dortmund,
Christoph Metzelder,Abwehr,19,Borussia Dortmund,
Alfred Nijhuis,Abwehr,34,Borussia Dortmund,
Stefan Reuter,Abwehr,33,Borussia Dortmund,
Christian Wörns,Abwehr,28,Borussia Dortmund,
Otto Addo,Mittelfeld,25,Borussia Dortmund,
Sead Kapetanovic,Mittelfeld,28,Borussia Dortmund,
Emmanuel Krontiris,Mittelfeld,17,Borussia Dortmund,
Christian Nerlinger,Mittelfeld,27,Borussia Dortmund,
Sunday Oliseh,Mittelfeld,25,Borussia Dortmund,
Lars Ricken,Mittelfeld,24,Borussia Dortmund,
Tomas Rosicky,Mittelfeld,19,Borussia Dortmund,
Miroslav Stevic,Mittelfeld,30,Borussia Dortmund,
Fredi Bobic,Sturm,28,Borussia Dortmund,
Heiko Herrlich,Sturm,28,Borussia Dortmund,
Victor Ikpeba,Sturm,27,Borussia Dortmund,
Giuseppe Reina,Sturm,28,Borussia Dortmund,
Derek Jan Sörensen,Sturm,28,Borussia Dortmund,
Ibrahim Tanko,Sturm,23,Borussia Dortmund,
Dirk Heinen,Tor,29,Eintracht Frankfurt,
Oka Nikolov,Tor,26,Eintracht Frankfurt,
Sven Schmitt,Tor,23,Eintracht Frankfurt,
Tommy Berntsen,Abwehr,26,Eintracht Frankfurt,
Uwe Bindewald,Abwehr,31,Eintracht Frankfurt,
