Mitchell Langerak,Torwart,21,Borussia Dortmund,8
Roman Weidenfeller,Torwart,29,Borussia Dortmund,192
Sven Bender,Abwehr,21,Borussia Dortmund,156
Dede,Abwehr,32,Borussia Dortmund,4
Felipe Santana,Abwehr,24,Borussia Dortmund,22
Mats Hummels,Abwehr,21,Borussia Dortmund,204
Patrick Owomoyela,Abwehr,30,Borussia Dortmund,24
Lukasz Piszczek,Abwehr,25,Borussia Dortmund,117
Marcel Schmelzer,Abwehr,22,Borussia Dortmund,157
Neven Subotic,Abwehr,21,Borussia Dortmund,120
Jakub Blaszczykowski,Mittelfeld,24,Borussia Dortmund,56
Antonio da Silva,Mittelfeld,32,Borussia Dortmund,25
Markus Feulner,Mittelfeld,28,Borussia Dortmund,6
Mario Götze,Mittelfeld,18,Borussia Dortmund,197
Kevin Großkreutz,Mittelfeld,22,Borussia Dortmund,129
Shinji Kagawa,Mittelfeld,21,Borussia Dortmund,128
Sebastian Kehl,Mittelfeld,30,Borussia Dortmund,14
Nuri Sahin,Mittelfeld,21,Borussia Dortmund,192
Marco Stiepermann,Mittelfeld,19,Borussia Dortmund,4
Lucas Barrios,Sturm,25,Borussia Dortmund,157
Robert Lewandowski,Sturm,21,Borussia Dortmund,69
Dimitar Rangelov,Sturm,27,Borussia Dortmund,1
Mohamed Zidan,Sturm,28,Borussia Dortmund,8
René Adler,Torwart,25,Bayer 04 Leverkusen,144
Fabian Giefer,Torwart,20,Bayer 04 Leverkusen,8
Manuel Friedrich,Abwehr,30,Bayer 04 Leverkusen,27
Sami Hyypiä,Abwehr,36,Bayer 04 Leverkusen,61
Michal Kadlec,Abwehr,25,Bayer 04 Leverkusen,66
Daniel Schwaab,Abwehr,21,Bayer 04 Leverkusen,50
Domagoj Vida,Abwehr,21,Bayer 04 Leverkusen,3
Hanno Balitsch,Mittelfeld,29,Bayer 04 Leverkusen,51
Michael Ballack,Mittelfeld,33,Bayer 04 Leverkusen,25
Tranquillo Barnetta,Mittelfeld,25,Bayer 04 Leverkusen,46
Lars Bender,Mittelfeld,21,Bayer 04 Leverkusen,66
Gonzalo Castro,Mittelfeld,23,Bayer 04 Leverkusen,75
Stefan Reinartz,Mittelfeld,21,Bayer 04 Leverkusen,63
Renato Augusto,Mittelfeld,22,Bayer 04 Leverkusen,81
Simon Rolfes,Mittelfeld,28,Bayer 04 Leverkusen,87
Sidney Sam,Mittelfeld,22,Bayer 04 Leverkusen,98
