Fabian Giefer,Torwart,28,FC Augsburg
Andreas Luthe,Torwart,31,FC Augsburg
Simon Asta,Abwehr,17,FC Augsburg
Jan-Ingwer Callsen-Bracker,Abwehr,33,FC Augsburg
Kevin Danso,Abwehr,19,FC Augsburg
Raphael Framberger,Abwehr,22,FC Augsburg
Felix Götze,Abwehr,20,FC Augsburg
Jeffrey Gouweleeuw,Abwehr,27,FC Augsburg
Martin Hinteregger,Abwehr,25,FC Augsburg
Kilian Jakob,Abwehr,20,FC Augsburg
Christoph Janker,Abwehr,33,FC Augsburg
Philipp Max,Abwehr,24,FC Augsburg
Tim Rieder,Abwehr,24,FC Augsburg
Konstantinos Stafylidis,Abwehr,24,FC Augsburg
Jozo Stanic,Abwehr,19,FC Augsburg
Daniel Baier,Mittelfeld,34,FC Augsburg
Caiuby,Mittelfeld,30,FC Augsburg
Michael Gregoritsch,Mittelfeld,24,FC Augsburg
André Hahn,Mittelfeld,27,FC Augsburg
Fredrik Jensen,Mittelfeld,20,FC Augsburg
Dong-Won Ji,Mittelfeld,27,FC Augsburg
Rani Khedira,Mittelfeld,24,FC Augsburg
Ja-Cheol Koo,Mittelfeld,29,FC Augsburg
Jan Moravek,Mittelfeld,28,FC Augsburg
Shawn Parker,Mittelfeld,25,FC Augsburg
Romario Rösch,Mittelfeld,19,FC Augsburg
Jonathan Schmid,Mittelfeld,28,FC Augsburg
Georg Teigl,Mittelfeld,27,FC Augsburg
Takashi Usami,Mittelfeld,26,FC Augsburg
Sergio Cordova,Sturm,20,FC Augsburg
Alfred Finnbogason,Sturm,29,FC Augsburg
Marco Richter,Sturm,20,FC Augsburg
Julian Schieber,Sturm,29,FC Augsburg
Marius Gersbeck,Torwart,23,Hertha BSC
Rune Jarstein,Torwart,33,Hertha BSC
Jonathan Klinsmann,Torwart,21,Hertha BSC
Thomas Kraft,Torwart,30,Hertha BSC
Dennis Smarsch,Torwart,19,Hertha BSC
Florian Baak,Abwehr,19,Hertha BSC
Sidney Friede,Abwehr,20,Hertha BSC
Lukas Klünter,Abwehr,22,Hertha BSC
Maximilian Mittelstädt,Abwehr,21,Hertha BSC
Peter Pekarik,Abwehr,31,Hertha BSC
Marvin Plattenhardt,Abwehr,26,Hertha BSC
Karim Rekik,Abwehr,23,Hertha BSC
Niklas Stark,Abwehr,23,Hertha BSC
Jordan Torunarigha,Abwehr,20,Hertha BSC
Maurice Covic,Mittelfeld,20,Hertha BSC
Palko Dardai,Mittelfeld,19,Hertha BSC
Vladimir Darida,Mittelfeld,27,Hertha BSC
Javairo Dilrosun,Mittelfeld,20,Hertha BSC
Ondrej Duda,Mittelfeld,23,Hertha BSC
Alexander Esswein,Mittelfeld,28,Hertha BSC
Dennis Jastrzembski,Mittelfeld,18,Hertha BSC
Julius Kade,Mittelfeld,19,Hertha BSC
Valentino Lazaro,Mittelfeld,22,Hertha BSC
Mathew Leckie,Mittelfeld,27,Hertha BSC
Fabian Lustenberger,Mittelfeld,30,Hertha BSC
Arne Maier,Mittelfeld,19,Hertha BSC
Per Ciljan Skjelbred,Mittelfeld,31,Hertha BSC
Vedad Ibisevic,Sturm,33,Hertha BSC
Salomon Kalou,Sturm,32,Hertha BSC
Muhammed Kiprit,Sturm,19,Hertha BSC
Pascal Köpke,Sturm,22,Hertha BSC
Maximilian Pronichev,Sturm,20,Hertha BSC
Davie Selke,Sturm,23,Hertha BSC
Jaroslav Drobny,Torwart,38,Werder Bremen
Jiri Pavlenka,Torwart,26,Werder Bremen
Luca Plogmann,Torwart,18,Werder Bremen
Michael Zetterer,Torwart,23,Werder Bremen
Ludwig Augustinsson,Abwehr,24,Werder Bremen
Felix Beijmo,Abwehr,20,Werder Bremen
Luca Caldirola,Abwehr,27,Werder Bremen
Fallou Diagne,Abwehr,28,Werder Bremen
Marco Friedl,Abwehr,20,Werder Bremen
Theodor Gebre Selassie,Abwehr,31,Werder Bremen
Thore Jacobsen,Abwehr,21,Werder Bremen
Sebastian Langkamp,Abwehr,30,Werder Bremen
Niklas Moisander,Abwehr,32,Werder Bremen
Milos Veljkovic,Abwehr,22,Werder Bremen
