Christian Fiedler,Tor,30,Hertha BSC,0,0,0,4,10,2,4,6,-2,8,0,2,4,4,2,2,2,2,0,0,-2,2,2,2,4,2,2,4,4,6,2,-2,-2,4
Gerhard Tremmel,Tor,26,Hertha BSC,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofian Chahed,Abwehr,22,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-4,-4,0,7,3,-4,2,2,2,-2,-4,0,-2
Malik Fathi,Abwehr,21,Hertha BSC,0,-2,0,2,0,1,2,2,-2,5,-1,4,2,0,2,0,0,-2,-4,2,-12,0,0,0,3,2,2,2,2,2,0,-10,0,-2
Arne Friedrich,Abwehr,26,Hertha BSC,5,0,0,7,0,-2,2,-2,-2,-2,0,2,-6,0,2,0,4,0,2,6,-12,0,-6,-6,6,2,-2,0,0,0,-2,-8,2,-2
Gilberto,Abwehr,29,Hertha BSC,-6,-2,0,11,-9,0,2,-2,2,0,0,0,0,0,0,-2,-2,0,0,0,0,-9,0,-6,2,-6,2,-2,7,-2,2,0,-3,0
Alexander Madlung,Abwehr,23,Hertha BSC,2,0,0,0,0,0,11,-2,-6,0,0,2,0,0,0,-2,9,0,-5,0,0,1,-12,0,0,0,0,0,0,0,-2,0,11,0
Christopher Samba,Abwehr,21,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0
Josip Simunic,Abwehr,27,Hertha BSC,2,2,-6,4,4,4,4,2,-6,0,-2,0,-2,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,-2,0,0,2,-13
Dick Burik van,Abwehr,31,Hertha BSC,2,0,2,4,2,-4,0,0,0,2,-2,4,-6,-2,-2,-10,0,7,-2,2,0,-2,0,0,2,2,-2,4,2,2,-2,0,0,0
Yildiray Bastürk,Mittelfeld,26,Hertha BSC,0,0,-6,0,-4,-4,5,6,-6,0,0,0,-4,6,12,8,0,-4,-6,4,-4,-6,8,-1,12,-2,5,7,5,0,4,0,0,0
Ellery Cairo,Mittelfeld,26,Hertha BSC,0,0,0,-1,0,-1,0,0,0,0,6,2,-6,-2,0,0,0,-1,-2,-2,-2,0,-6,0,0,0,1,0,0,0,0,-6,-6,-2
Pal Dardai,Mittelfeld,29,Hertha BSC,0,0,0,0,2,0,0,10,-2,0,4,4,-6,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,8
Ashkan Dejagah,Mittelfeld,19,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niko Kovac,Mittelfeld,33,Hertha BSC,-2,0,0,0,4,-2,2,0,-6,0,0,0,0,8,2,0,-2,-4,-4,2,2,0,0,0,0,0,2,0,0,0,6,-2,10,2
Marcelinho,Mittelfeld,30,Hertha BSC,4,-1,-4,-2,0,5,6,2,0,14,11,8,-6,1,9,-13,0,-6,-3,-4,0,-2,-4,-8,7,-6,-6,14,-1,2,1,4,11,0
Thorben Marx,Mittelfeld,24,Hertha BSC,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-6,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0
Andreas Neuendorf,Mittelfeld,30,Hertha BSC,0,0,-6,0,2,-4,0,0,-6,0,0,0,0,0,0,0,1,-4,0,0,-2,0,0,-6,0,0,0,0,0,0,0,-2,-1,0
Andreas Schmidt,Mittelfeld,31,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0
Oliver Schröder,Mittelfeld,25,Hertha BSC,-2,8,0,0,0,0,0,0,0,0,-2,0,2,0,0,0,0,-2,0,0,0,0,0,-2,-2,0,-2,0,-2,-4,0,0,0,0
Kevin-Prince Boateng,Sturm,18,Hertha BSC,0,2,0,0,0,0,0,0,0,0,0,0,-2,-2,2,2,-4,-2,1,2,0,0,3,3,7,-4,0,0,2,0,-2,2,-2,0
