Marwin Hitz,Tor,27,FC Augsburg,200
Alexander Manninger,Tor,38,FC Augsburg,5
Jan-Ingwer Callsen-Bracker,Abwehr,30,FC Augsburg,15
Jeffrey Gouweleeuw,Abwehr,24,FC Augsburg,0
Jeong-Ho Hong,Abwehr,25,FC Augsburg,32
Christoph Janker,Abwehr,30,FC Augsburg,3
Ragnar Klavan,Abwehr,29,FC Augsburg,54
Philipp Max,Abwehr,21,FC Augsburg,19
Daniel Opare,Abwehr,24,FC Augsburg,-4
Konstantinos Stafylidis,Abwehr,21,FC Augsburg,0
Paul Verhaegh,Abwehr,31,FC Augsburg,102
Daniel Baier,Mittelfeld,31,FC Augsburg,58
Caiuby,Mittelfeld,27,FC Augsburg,95
Alexander Esswein,Mittelfeld,25,FC Augsburg,50
Markus Feulner,Mittelfeld,33,FC Augsburg,22
Dominik Kohr,Mittelfeld,21,FC Augsburg,18
Ja-Cheol Koo,Mittelfeld,26,FC Augsburg,83
Jan Moravek,Mittelfeld,25,FC Augsburg,0
Piotr Trochowski,Mittelfeld,31,FC Augsburg,-6
Tobias Werner,Mittelfeld,30,FC Augsburg,2
Albian Ajeti,Sturm,18,FC Augsburg,-1
Halil Altintop,Sturm,32,FC Augsburg,13
Raul Bobadilla,Sturm,28,FC Augsburg,46
Alfred Finnbogason,Sturm,26,FC Augsburg,73
Dong-Won Ji,Sturm,24,FC Augsburg,11
Tim Matavz,Sturm,26,FC Augsburg,-2
Sascha Mölders,Sturm,30,FC Augsburg,4
Rune Jarstein,Tor,30,Hertha BSC,139
Thomas Kraft,Tor,27,Hertha BSC,24
Anthony John Brooks,Abwehr,22,Hertha BSC,65
Sebastian Langkamp,Abwehr,27,Hertha BSC,67
Fabian Lustenberger,Abwehr,27,Hertha BSC,77
Maximilian Mittelstädt,Abwehr,18,Hertha BSC,4
Peter Pekarik,Abwehr,28,Hertha BSC,21
Marvin Plattenhardt,Abwehr,23,Hertha BSC,101
Yanni Regäsel,Abwehr,19,Hertha BSC,20
Nico Schulz,Abwehr,22,Hertha BSC,2
Niklas Stark,Abwehr,20,Hertha BSC,39
Johannes Bergh den van,Abwehr,28,Hertha BSC,11
Mitchell Weiser,Abwehr,21,Hertha BSC,113
Alexander Baumjohann,Mittelfeld,28,Hertha BSC,30
Tolga Cigerci,Mittelfeld,23,Hertha BSC,13
Vladimir Darida,Mittelfeld,24,Hertha BSC,90
Genki Haraguchi,Mittelfeld,24,Hertha BSC,39
Jens Hegeler,Mittelfeld,27,Hertha BSC,10
Salomon Kalou,Mittelfeld,29,Hertha BSC,137
Florian Kohls,Mittelfeld,20,Hertha BSC,1
Ronny,Mittelfeld,29,Hertha BSC,1
Ciljan Per Skjelbred,Mittelfeld,28,Hertha BSC,108
Valentin Stocker,Mittelfeld,26,Hertha BSC,6
Roy Beerens,Sturm,27,Hertha BSC,-11
Vedad Ibisevic,Sturm,30,Hertha BSC,85
Julian Schieber,Sturm,26,Hertha BSC,1
Felix Wiedwald,Tor,25,Werder Bremen,134
Papy Djilobodji,Abwehr,26,Werder Bremen,31
Alejandro Galvez,Abwehr,26,Werder Bremen,-7
Santiago Garcia,Abwehr,27,Werder Bremen,28
Ulisses Garcia,Abwehr,19,Werder Bremen,7
Theodor Selassie Gebre,Abwehr,28,Werder Bremen,25
Leon Guwara,Abwehr,19,Werder Bremen,-4
Oliver Hüsing,Abwehr,22,Werder Bremen,1
Assani Lukimya,Abwehr,29,Werder Bremen,16
Janek Sternberg,Abwehr,22,Werder Bremen,3
Milos Veljkovic,Abwehr,19,Werder Bremen,-2
Jannik Vestergaard,Abwehr,22,Werder Bremen,98
Luca-Milan Zander,Abwehr,19,Werder Bremen,-11
Philipp Bargfrede,Mittelfeld,26,Werder Bremen,9
