Fabian Giefer,Tor,29,FC Augsburg
Benjamin Leneis,Tor,20,FC Augsburg
Andreas Luthe,Tor,32,FC Augsburg
Simon Asta,Abwehr,18,FC Augsburg
Kevin Danso,Abwehr,20,FC Augsburg
Raphael Framberger,Abwehr,23,FC Augsburg
Felix Götze,Abwehr,21,FC Augsburg
Jeffrey Gouweleeuw,Abwehr,28,FC Augsburg
Martin Hinteregger,Abwehr,26,FC Augsburg
Iago,Abwehr,22,FC Augsburg
Philipp Max,Abwehr,25,FC Augsburg
Mads Pedersen,Abwehr,22,FC Augsburg
Tim Rieder,Abwehr,25,FC Augsburg
Jozo Stanic,Abwehr,20,FC Augsburg
Marek Suchy,Abwehr,31,FC Augsburg
Daniel Baier,Mittelfeld,35,FC Augsburg
Caiuby,Mittelfeld,31,FC Augsburg
Michael Gregoritsch,Mittelfeld,25,FC Augsburg
Carlos Gruezo,Mittelfeld,24,FC Augsburg
André Hahn,Mittelfeld,28,FC Augsburg
Fredrik Jensen,Mittelfeld,21,FC Augsburg
Rani Khedira,Mittelfeld,25,FC Augsburg
Jan Moravek,Mittelfeld,29,FC Augsburg
Noah Joel Sarenren Bazee,Mittelfeld,22,FC Augsburg
Georg Teigl,Mittelfeld,28,FC Augsburg
Ruben Vargas,Mittelfeld,20,FC Augsburg
Seong-Hoon Cheon,Sturm,18,FC Augsburg
Sergio Cordova,Sturm,21,FC Augsburg
Alfred Finnbogason,Sturm,30,FC Augsburg
Maurice Malone,Sturm,18,FC Augsburg
Florian Niederlechner,Sturm,28,FC Augsburg
Marco Richter,Sturm,21,FC Augsburg
Julian Schieber,Sturm,30,FC Augsburg
Jakob Busk,Tor,25,1. FC Union Berlin
Rafal Gikiewicz,Tor,31,1. FC Union Berlin
Moritz Nicolas,Tor,21,1. FC Union Berlin
Lars Dietz,Abwehr,22,1. FC Union Berlin
Marvin Friedrich,Abwehr,23,1. FC Union Berlin
Florian Hübner,Abwehr,28,1. FC Union Berlin
Christopher Lenz,Abwehr,24,1. FC Union Berlin
Lennard Maloney,Abwehr,19,1. FC Union Berlin
Michael Parensen,Abwehr,33,1. FC Union Berlin
Nicolai Rapp,Abwehr,22,1. FC Union Berlin
